genotype,rep,row,col,yield
G06,1,8,2,6.686
G54,1,8,3,7.259
G10,1,8,4,6.037
G44,1,8,5,7.435
G11,2,8,6,7.728
G47,2,8,7,8.107
G54,2,8,8,7.656
G34,2,8,9,6.494
G56,2,8,10,6.529
G60,3,8,11,5.265
G16,3,8,12,5.324
G42,3,8,13,5.870
G02,3,8,14,5.722
G34,3,8,15,6.296
G39,4,8,16,5.877
G35,4,8,17,5.032
G10,4,8,18,5.437
G45,4,8,19,5.613
G40,4,8,20,6.015
G58,1,9,1,5.844
G12,1,9,2,6.212
G24,1,9,3,5.919
G35,1,9,4,5.227
G16,1,9,5,6.077
G26,2,9,6,7.780
G37,2,9,7,6.163
G23,2,9,8,6.289
G49,2,9,9,6.739
G01,2,9,10,5.704
G06,3,9,11,5.253
G58,3,9,12,6.365
G26,3,9,13,7.779
G30,3,9,14,6.723
G36,3,9,15,7.342
G27,4,9,16,5.561
G46,4,9,17,6.405
G07,4,9,18,6.067
G18,4,9,19,6.305
G30,4,9,20,6.897
G23,1,10,1,6.817
G25,1,10,2,7.177
G39,1,10,3,6.902
G41,1,10,4,5.759
G29,1,10,5,5.112
G60,2,10,6,6.430
G08,2,10,7,6.537
G29,2,10,8,5.244
G06,2,10,9,5.385
G16,2,10,10,5.906
G55,3,10,11,5.710
G38,3,10,12,5.950
G31,3,10,13,5.806
G43,3,10,14,5.869
G28,3,10,15,7.253
G33,4,10,16,5.999
G03,4,10,17,5.272
G42,4,10,18,6.797
G31,4,10,19,NA
G05,4,10,20,6.627
G22,1,11,1,6.930
G43,1,11,2,5.429
G48,1,11,3,4.963
G49,1,11,4,6.873
G45,1,11,5,6.073
G03,2,11,6,5.321
G19,2,11,7,5.356
G58,2,11,8,5.273
G04,2,11,9,6.204
G27,2,11,10,5.765
G40,3,11,11,6.521
G19,3,11,12,6.650
G09,3,11,13,6.197
G21,3,11,14,6.113
G20,3,11,15,5.644
G38,4,11,16,5.415
G24,4,11,17,5.948
G20,4,11,18,6.339
G47,4,11,19,7.370
G58,4,11,20,6.713
G01,1,12,1,6.612
G04,1,12,2,6.908
G32,1,12,3,6.535
G28,1,12,4,5.985
G02,1,12,5,6.709
G25,2,12,6,7.331
G17,2,12,7,5.977
G38,2,12,8,5.586
G13,2,12,9,6.076
G39,2,12,10,6.331
G51,3,12,11,6.829
G15,3,12,12,6.091
G27,3,12,13,5.804
G54,3,12,14,6.382
G22,3,12,15,6.687
G08,4,12,16,6.059
G43,4,12,17,5.793
G48,4,12,18,7.486
G44,4,12,19,7.812
G41,4,12,20,6.998
